tag,id,latitude,longitude,elevation,subspecies,site,nodeFirstFlower,avgProtandry,avgHerkogamy,avgPetalArea,dateFlowered,admixProportion
S22-178-X,178,35.834196,-118.452181,971.433167,X,S22,13,NA,NA,202.9,18346,0.118833738
S22-179-X,179,35.834262,-118.452162,969.713928,X,S22,20,4,6.5,224.25,18345,0.106420204
S22-180-X,180,35.834534,-118.45222,956.721069,X,S22,11,5.5,4.5,160.25,18332,0.117375561
S22-181-P,181,35.834563,-118.452476,942.409851,P,S22,12,0,0,19.65,18317,0.005314898
S22-182-P,182,35.834541,-118.452438,943.443481,P,S22,NA,0,0.5,24.2,18342,0.005020383
S22-184-X,184,35.834904,-118.452097,949.346436,X,S22,19,4,6,201.4,18344,0.10137826
S22-185-X,185,35.834857,-118.452119,949.321899,X,S22,15,5.5,5,163.2,18330,0.11168999
S22-186-X,186,35.834849,-118.45212,949.533569,X,S22,15,6,5,227.5,18354,0.097037289
S22-187-X,187,35.835119,-118.451981,948.613464,X,S22,11,4.5,3.5,172.4,18335,0.103679415
S22-188-X,188,35.835132,-118.451918,948.805725,X,S22,15,4,5.5,138.65,18326,0.0894368
S22-189-X,189,35.835159,-118.451876,951.02533,X,S22,11,4,6.5,155.25,18335,0.112803828
S22-190-X,190,35.835231,-118.451869,951.259277,X,S22,15,2.5,8,168,18352,0.097296139
S22-191-X,191,35.835207,-118.451841,950.271057,X,S22,8,3.5,2.5,120.25,18331,0.103377977
S22-192-X,192,35.835264,-118.451816,950.285828,X,S22,20,7,9,182.3,18352,0.102107783
S22-193-X,193,35.835282,-118.451763,950.053894,X,S22,13.5,6,4,175.25,18331,0.097307503
S22-194-X,194,35.835306,-118.451775,949.718384,X,S22,16,4.5,5,163.1,18361,0.094068678
S22-195-X,195,35.835346,-118.451792,949.366455,X,S22,15,5,3,216.2,18353,0.101289569
S22-196-X,196,35.835352,-118.451807,948.692383,X,S22,16,3.5,6,154.9,18349,0.086243335
S22-197-X,197,35.835409,-118.4518,947.293762,X,S22,15,7,9.5,180.9,18344,0.095021222
S22-198-X,198,35.83538,-118.451847,945.81366,X,S22,6,4.5,3.5,162.65,18330,0.10186942
S22-199-X,199,35.835314,-118.451865,943.820374,X,S22,22,6,9,214.75,18346,0.111643734
S22-200-X,200,35.835341,-118.451956,938.996155,X,S22,17,8,4.5,179.45,18340,0.081227387
S22-201-X,201,35.835318,-118.45194,938.992249,X,S22,9,3.5,7.5,217.9,18333,0.096348974
S22-202-X,202,35.835321,-118.451972,938.319641,X,S22,14,5.5,6,213.75,18348,0.10825899
S22-203-X,203,35.835298,-118.451936,938.702393,X,S22,16,6,4,239.3,18347,0.083070461
S22-204-X,204,35.835404,-118.451911,939.176819,X,S22,18,4.5,4,192.95,18348,0.111962949
S22-205-X,205,35.835463,-118.451891,940.328308,X,S22,14,6,6,197.95,18347,0.097873769
S22-206-X,206,35.835493,-118.451895,938.984619,X,S22,14,3.5,4,149,18343,0.089431067
S22-207-X,207,35.835366,-118.451866,944.736572,X,S22,14,12.5,6.5,226.65,18356,0.128941296
S22-208-X,208,35.835396,-118.451865,943.930786,X,S22,7,4,4,189.55,18332,0.096917194
S22-209-X,209,35.835498,-118.451868,938.830078,X,S22,11,4,2.5,172.45,18358,0.10585251
S22-210-X,210,35.835552,-118.451807,942.397217,X,S22,20,6.5,5.5,183.4,18351,0.083312526
S22-211-X,211,35.835651,-118.451776,942.272095,X,S22,24,9,3,169.45,18350,0.076413276
S22-212-X,212,35.835668,-118.451782,939.624695,X,S22,17,6,6,216.75,18350,0.087949633
S22-214-X,214,35.837369,-118.450823,948.998657,X,S22,8,2,2.5,126.45,18332,0.084041601
S22-215-X,215,35.83735,-118.450826,950.143372,X,S22,16,5,3.5,163.35,18353,0.085481744
S22-216-X,216,35.83736,-118.450839,949.776855,X,S22,22,7,6.5,175.65,18344,0.102025884
S22-217-X,217,35.837353,-118.450712,953.250427,X,S22,17,5,5.5,158.25,18355,0.095247358
S22-218-X,218,35.83733,-118.450699,953.43811,X,S22,13,6.5,6,162.8,18343,0.098409196
S22-220-X,220,35.840297,-118.450239,939.150269,X,S22,11,5,5.5,205.45,18347,0.110821921
S22-221-X,221,35.840371,-118.450249,936.941895,X,S22,14,5.5,8,160.6,18336,0.090697185
S22-222-X,222,35.840153,-118.450459,937.551941,X,S22,11,4,5,164.2,18335,0.11325886
S22-223-X,223,35.839952,-118.450418,938.647766,X,S22,19,5,5,201.45,18353,0.091660246
S22-224-X,224,35.839874,-118.450526,938.654541,X,S22,16,NA,NA,152.9,18349,0.1174428
S22-225-X,225,35.840509,-118.450287,933.992249,X,S22,19,5.5,5.5,202.65,18349,0.099431635
SAW-10-P,10,35.681158,-118.473564,891.021484,P,SAW,32,0.5,0,18.1,18263,0.015288499
SAW-100-P,100,35.678982,-118.473122,892.653809,P,SAW,34,0,0,27.2845,18265,0.015240914
