ril,location,mean_visits,petal_color,date_first_flw,node_first_flw,petal_area_mm,petal_perim_mm,asd_mm,protandry,stem_dia_mm,lwc,growth_rate
B120,SR,3.5833,pink,96,15.4,105.2736,64.764,2.3,3.4,2.116,0.864,0.708
A76,GC,0,white,97.8,18.4,73.191,49.0458,0.7,2.6,2.128,0.8079,1.42
A76,SR,0.0833,white,97.8,18.4,73.191,49.0458,0.7,2.6,2.128,0.8079,1.42
B119,GC,0,pink,95.4,20.2,49.132,49.2106,0.7,2,2.098,0.8771,1.02
B119,SR,2.75,pink,95.4,20.2,49.132,49.2106,0.7,2,2.098,0.8771,1.02
B65,GC,0,white,98,21.4,56.4883,50.3194,0.3,1.2,2.198,0.8847,1.156
B65,SR,0.25,white,98,21.4,56.4883,50.3194,0.3,1.2,2.198,0.8847,1.156
A83,GC,0,white,96,20.3845,43.2006,39.2444,0,0.8,2.07,0.8452,1.144
A83,SR,0,white,96,20.3845,43.2006,39.2444,0,0.8,2.07,0.8452,1.144
B62,GC,0,white,96.2,25.2,36.5006,39.3058,0.6,0.6,2.106,0.8675,1.44
B62,SR,0.4167,white,96.2,25.2,36.5006,39.3058,0.6,0.6,2.106,0.8675,1.44
B98,GC,0,white,95.6,21.6,39.6888,39.5806,0.2,0.8,1.722,0.8738,1.088
B98,SR,0.4615,white,95.6,21.6,39.6888,39.5806,0.2,0.8,1.722,0.8738,1.088
A136,GC,0,pink,92.6,14.4,88.329,51.4274,1,2.8,2.144,0.8198,0.776
A136,SR,4.7692,pink,92.6,14.4,88.329,51.4274,1,2.8,2.144,0.8198,0.776
A58,GC,0,white,95.6,23.2,58.1476,46.1938,0.7,1,2.146,0.8356,1.116
A58,SR,0.7143,white,95.6,23.2,58.1476,46.1938,0.7,1,2.146,0.8356,1.116
A99,GC,0,pink,96.2,23.8,64.9962,46.0926,1.5,2,2.078,0.8418,1.284
A99,SR,NA,pink,96.2,23.8,64.9962,46.0926,1.5,2,2.078,0.8418,1.284
B3,GC,0,pink,97.2,25.8,42.358,39.8578,0.4,2.2,1.688,0.8447,1.42
B3,SR,0.5,pink,97.2,25.8,42.358,39.8578,0.4,2.2,1.688,0.8447,1.42
A109,GC,0,white,99.4,25,47.2066,38.7782,0.3,1.2,1.95,0.827,1.476
A109,SR,0.2,white,99.4,25,47.2066,38.7782,0.3,1.2,1.95,0.827,1.476
B30,GC,0,white,94.8,17.6,68.0734,51.949,1.6,3.2,2.12,0.8584,0.96
B30,SR,0.4167,white,94.8,17.6,68.0734,51.949,1.6,3.2,2.12,0.8584,0.96
B108,GC,0.5833,pink,96.8,21.2,82.565,56.2592,1.2,3,2.004,0.8327,1.356
B108,SR,1.4615,pink,96.8,21.2,82.565,56.2592,1.2,3,2.004,0.8327,1.356
