ril,location,mean_visits,petal_color,date_first_flw,node_first_flw,petal_area_mm,petal_perim_mm,asd_mm,protandry,stem_dia_mm,lwc,growth_rate
B87,GC,NA,NA,102,19.4,NA,NA,2.5,2.8,2.08,0.8244,1.572
B87,SR,NA,NA,102,19.4,NA,NA,2.5,2.8,2.08,0.8244,1.572
A52,GC,NA,NA,95.2,21.6,52.5566,45.1938,0.8,1.8,2.19,0.8526,1.168
A52,SR,NA,NA,95.2,21.6,52.5566,45.1938,0.8,1.8,2.19,0.8526,1.168
A20,GC,NA,NA,101.2,21.8,56.1642,45.0775,0.9,1.4,1.97,0.8315,1.424
A20,SR,NA,NA,101.2,21.8,56.1642,45.0775,0.9,1.4,1.97,0.8315,1.424
B4,GC,NA,NA,96.8,22.4,55.7498,42.6478,1.2,1.4,1.864,0.8437,1.236
B4,SR,NA,NA,96.8,22.4,55.7498,42.6478,1.2,1.4,1.864,0.8437,1.236
B26,GC,NA,NA,100.6,23,60.114,47.6018,2,2.2,2.1037,0.8442,1.576
B26,SR,NA,NA,100.6,23,60.114,47.6018,2,2.2,2.1037,0.8442,1.576
B84,GC,NA,NA,98.6,23,57.5063,49.224,0.7,1.8,2.128,0.8238,1.108
B84,SR,NA,NA,98.6,23,57.5063,49.224,0.7,1.8,2.128,0.8238,1.108
A54,GC,NA,NA,96,20.4,66.5098,49.048,0.7,2.6,2.08,0.854,1.428
A54,SR,NA,NA,96,20.4,66.5098,49.048,0.7,2.6,2.08,0.854,1.428
A116,GC,NA,NA,101.8,22.2,76.0486,48.5027,1.2,2.2,1.952,0.8255,1.664
A116,SR,NA,NA,101.8,22.2,76.0486,48.5027,1.2,2.2,1.952,0.8255,1.664
A73,GC,NA,NA,98.8,23.4,51.4497,45.8435,0.3,1.2,2.256,0.8359,1.272
A73,SR,NA,NA,98.8,23.4,51.4497,45.8435,0.3,1.2,2.256,0.8359,1.272
A56,GC,NA,NA,99.2,18.8,86.5505,56.1304,0.9,2,2.264,0.8331,1.128
A56,SR,NA,NA,99.2,18.8,86.5505,56.1304,0.9,2,2.264,0.8331,1.128
B53,GC,NA,NA,99.4,18,54.2653,44.5732,0.8,0.4,1.744,0.8593,1.34
B53,SR,NA,NA,99.4,18,54.2653,44.5732,0.8,0.4,1.744,0.8593,1.34
B2,GC,NA,NA,95.2,16,38.487,40.6837,0.4,0.4,1.828,0.834,0.56
B2,SR,NA,NA,95.2,16,38.487,40.6837,0.4,0.4,1.828,0.834,0.56
A121,GC,NA,NA,99.8,24.8,80.6185,52.3912,3.5,3.8,2.246,0.8237,1.572
A121,SR,NA,NA,99.8,24.8,80.6185,52.3912,3.5,3.8,2.246,0.8237,1.572
B107,GC,NA,NA,90.2,14,68.5418,47.0948,0,1,2.056,0.8143,0.132
B107,SR,NA,NA,90.2,14,68.5418,47.0948,0,1,2.056,0.8143,0.132
B67,GC,NA,NA,99,20.4,63.043,56.0352,1,1.6,1.956,0.836,0.976
B67,SR,NA,NA,99,20.4,63.043,56.0352,1,1.6,1.956,0.836,0.976
A91,GC,NA,NA,97.2,22,46.4522,43.3496,2,1,1.87,0.8226,1.428
A91,SR,NA,NA,97.2,22,46.4522,43.3496,2,1,1.87,0.8226,1.428
B83,GC,NA,NA,94.4,15.8,61.475,49.5972,1.3,1.6,1.926,0.8617,0.8
B83,SR,NA,NA,94.4,15.8,61.475,49.5972,1.3,1.6,1.926,0.8617,0.8
B116,GC,NA,NA,93.8,17.4,76.3944,51.9008,0.6,2.2,1.96,0.8464,0.98
B116,SR,NA,NA,93.8,17.4,76.3944,51.9008,0.6,2.2,1.96,0.8464,0.98
B100,GC,NA,NA,99.6,21,40.4782,39.6634,0.7,0.6,1.966,0.8755,0.924
B100,SR,NA,NA,99.6,21,40.4782,39.6634,0.7,0.6,1.966,0.8755,0.924
A77,GC,NA,NA,101,22.4,38.3748,35.9525,0.2,0.4,1.664,0.8284,1.788
A77,SR,NA,NA,101,22.4,38.3748,35.9525,0.2,0.4,1.664,0.8284,1.788
B36,GC,NA,NA,99,21.2,66.6855,52.3877,0.5,2.8,2.028,0.85,0.968
B36,SR,NA,NA,99,21.2,66.6855,52.3877,0.5,2.8,2.028,0.85,0.968
B72,GC,NA,NA,93.2,15.6,74.002,47.2538,0.4,1.4,1.81,0.8679,0.58
B72,SR,NA,NA,93.2,15.6,74.002,47.2538,0.4,1.4,1.81,0.8679,0.58
A108,GC,NA,NA,99,23.4,51.4932,40.1904,0.6,0.8,2.12,0.8355,1.584
A108,SR,NA,NA,99,23.4,51.4932,40.1904,0.6,0.8,2.12,0.8355,1.584
B92,GC,NA,NA,94.6,17.6,61.4748,48.4488,0,2.2,1.912,0.8862,1.032
B92,SR,NA,NA,94.6,17.6,61.4748,48.4488,0,2.2,1.912,0.8862,1.032
B89,GC,NA,NA,95.6,17,89.8976,52.1928,0.3,2.8,2.094,0.8231,0.9
B89,SR,NA,NA,95.6,17,89.8976,52.1928,0.3,2.8,2.094,0.8231,0.9
A85,GC,NA,NA,98.4,21.8,66.2382,50.827,0.4,1.6,1.9,0.8345,1.18
A85,SR,NA,NA,98.4,21.8,66.2382,50.827,0.4,1.6,1.9,0.8345,1.18
B123,GC,NA,NA,96.2,21.8,46.9528,44.1928,1.1,1.4,2.018,0.8506,1.408
B123,SR,NA,NA,96.2,21.8,46.9528,44.1928,1.1,1.4,2.018,0.8506,1.408
B22,GC,NA,NA,100.2,22.6,71.2251,47.4834,1.5,1.8,1.688,0.8492,1.36
B22,SR,NA,NA,100.2,22.6,71.2251,47.4834,1.5,1.8,1.688,0.8492,1.36
B111,GC,NA,NA,98.2,19.6,84.484,59.5595,2.7,3.2,2.448,0.856,1.436
B111,SR,NA,NA,98.2,19.6,84.484,59.5595,2.7,3.2,2.448,0.856,1.436
B6,GC,NA,NA,97.8,20.8,41.3716,42.4486,0.7,1,1.874,0.8661,1.236
B6,SR,NA,NA,97.8,20.8,41.3716,42.4486,0.7,1,1.874,0.8661,1.236
B13,GC,NA,NA,97,19.8,64.3894,48.0648,0.5,1.8,1.782,0.853,1.124
B13,SR,NA,NA,97,19.8,64.3894,48.0648,0.5,1.8,1.782,0.853,1.124
B99,GC,NA,NA,101.4,24.6,49.1016,47.9549,0.6,0.4,1.92,0.843,1.312
B99,SR,NA,NA,101.4,24.6,49.1016,47.9549,0.6,0.4,1.92,0.843,1.312
A134,GC,NA,NA,94.0373,19.6424,44.7178,40.912,0.125,0.8058,1.9737,0.8358,1.3076
A134,SR,NA,NA,94.0373,19.6424,44.7178,40.912,0.125,0.8058,1.9737,0.8358,1.3076
B32,GC,NA,NA,97.4,17.4,45.7878,48.5297,0.6,1.2,1.62,0.8592,1.028
B32,SR,NA,NA,97.4,17.4,45.7878,48.5297,0.6,1.2,1.62,0.8592,1.028
A26,GC,NA,NA,95.6,21,36.0004,39.3366,0.5,0.5229,2.0543,0.8401,1
A26,SR,NA,NA,95.6,21,36.0004,39.3366,0.5,0.5229,2.0543,0.8401,1
A122,GC,NA,NA,96.8,22.4,50.3168,47.1386,1.6,1.4,2.062,0.843,1.524
A122,SR,NA,NA,96.8,22.4,50.3168,47.1386,1.6,1.4,2.062,0.843,1.524
A82,GC,NA,NA,93.4,22.4,45.437,43.776,1.2,2.2,2.24,0.839,1.356
A82,SR,NA,NA,93.4,22.4,45.437,43.776,1.2,2.2,2.24,0.839,1.356
A133,GC,NA,NA,97.4,20.4,47.9664,46.9384,0.5,1.6,1.958,0.8426,0.944
A133,SR,NA,NA,97.4,20.4,47.9664,46.9384,0.5,1.6,1.958,0.8426,0.944
A86,GC,NA,NA,96.4,20.2,76.3936,51.6658,1.9,2,1.95,0.8044,0.744
A86,SR,NA,NA,96.4,20.2,76.3936,51.6658,1.9,2,1.95,0.8044,0.744
A71,GC,NA,NA,99,22.2,71.5328,52.0795,2,2.2,2.096,0.8437,1.652
A71,SR,NA,NA,99,22.2,71.5328,52.0795,2,2.2,2.096,0.8437,1.652
B96,GC,NA,NA,97.6,24.6,43.6788,39.192,0.7,2.2,1.9,0.8724,1.492
B96,SR,NA,NA,97.6,24.6,43.6788,39.192,0.7,2.2,1.9,0.8724,1.492
B125,GC,NA,NA,95.4,16.2,85.327,54.831,3.8,3,2.046,0.821,0.78
B125,SR,NA,NA,95.4,16.2,85.327,54.831,3.8,3,2.046,0.821,0.78
A80,GC,NA,NA,94.8,18,59.7942,47.163,0.4,1.4,2.122,0.8481,0.732
A80,SR,NA,NA,94.8,18,59.7942,47.163,0.4,1.4,2.122,0.8481,0.732
B57,GC,NA,NA,100.4,25.2,69.1157,46.6012,1.9,2.2444,1.888,0.8254,1.708
B57,SR,NA,NA,100.4,25.2,69.1157,46.6012,1.9,2.2444,1.888,0.8254,1.708
B103,GC,NA,NA,99.2,27.8,47.166,41.0446,0.6,0.6,1.94,0.8421,2.168
B103,SR,NA,NA,99.2,27.8,47.166,41.0446,0.6,0.6,1.94,0.8421,2.168
A55,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A55,SR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
