probCluster1,probCluster2,probCluster3,probCluster4,cluster,site,id,replicate,subspecies,date_flowered_std,avg_protandry,avg_herkogamy,mean_petal_area_sq_cm
0.02763593289166562,0.9723640671083343,4.990609997652723e-44,0,2,GC,620,A,U,15,9,8.5,2.269
0.9946366294107422,0.0053633705891695605,8.82852928395671e-14,0,1,GC,620,B,U,6,5.5,4.5,1.8775
2.639369633190274e-4,0.9997360630366809,6.223901702458287e-17,0,2,GC,620,C,U,24,7.5,2.5,2.6455
0.7184586051060485,0.2815413948939514,1.0360776893271772e-50,0,1,GC,621,A,U,15,6.5,9.75,1.8495
0.8544752463647518,0.14552475363524814,9.30516985695366e-34,0,1,GC,621,B,U,16,8,8,1.553
0.11508145099256895,0.884918549007431,2.3315411685873333e-81,0,2,GC,621,C,U,17,8,12.5,1.8045
0.672615707089755,0.3273842929101645,8.034973315159696e-14,0,1,GC,622,A,U,23,7.25,4.5,1.6415000000000002
0.0030993459255447943,0.9969006540744552,2.1333567933943236e-34,0,2,GC,622,C,U,16,10.25,7,2.4075
0.004612920197998802,0.9953870798020011,2.693102507761729e-27,0,2,GC,623,A,U,17,11,6,2.3175
1.2846788262852182e-7,0.9999998715321173,3.205399693312242e-57,0,2,GC,623,B,U,25,9.25,9,2.8455000000000004
0.009881759663458885,0.9901182403365412,1.892678136354453e-46,0,2,GC,623,C,U,25,9.25,9,1.817
2.8550633793125674e-5,0.9999714493662069,2.2867056804086463e-31,0,2,GC,625,A,U,17,7,5.75,2.9219999999999997
0.01650372715871183,0.9834962728412882,1.384607638546475e-82,0,2,GC,625,B,U,24,6.25,12.5,1.8435
0.3875684966229479,0.6124315033770522,9.870880712659818e-21,0,2,GC,625,C,U,22,7,5.5,1.925
0.9960393491168195,0.0039606116740495455,3.920913084909516e-8,0,1,GC,626,A,U,16,4,3.5,1.653
0.9944092693816519,0.005590730618348135,6.654957143045148e-27,0,1,GC,626,C,U,12,4.25,7.25,1.588
0.7703296678949175,0.22967033210508245,1.0783671549559493e-29,0,1,GC,627,A,U,11,7.5,7,2.05
0.9797438948454825,0.020256105154514505,3.035817541957229e-15,0,1,GC,627,B,U,12,8,5,1.6295
0.9890260383376557,0.010973961662344258,8.068137355471214e-34,0,1,GC,627,C,U,6,5.5,8,1.731
0.9094072739447757,0.09059272605522425,1.7896313018576167e-22,0,1,GC,628,A,U,13,7.5,6,1.899
0.9306466827386891,0.06935331726131067,2.0684217911220258e-16,0,1,GC,628,B,U,15,8,5,1.7625000000000002
0.6793860305628243,0.32061396943717574,4.560408492039125e-28,0,1,GC,628,C,U,18,8.25,7,1.731
0.9916456395010644,0.008354360498935592,1.2922773768017292e-19,0,1,GC,629,A,U,10,7,6,1.5445
0.9882186096383696,0.008997266287283678,0.002784124074346796,1.964993818392457e-178,1,GC,629,B,U,20,5,2,1.415
0.3119628900021206,0.6880371099978793,6.580743148197627e-28,0,2,GC,629,C,U,17,5.75,6.5,2.2445
0.6767533814659843,0.32324661853401565,1.5725704788106283e-26,0,1,GC,630,A,U,16,7,6.5,2.0244999999999997
0.031837477041925265,0.9681625229580748,6.3739458365936925e-37,0,2,GC,630,B,U,15,7.5,7.5,2.403
0.9425293986109649,0.0574706013890352,2.9534993645038766e-35,0,1,GC,630,C,U,11,6.5,8,1.843
0.1493766234818019,0.8506233765181982,1.0528335668675493e-20,0,2,GC,631,A,U,18,6.5,5,2.3205
1.3740905281483488e-7,0.9999998625909472,9.90793131675025e-62,0,2,GC,631,B,U,27,7.75,9.5,2.8275
8.372640277775289e-5,0.9999162735972221,1.7748127562364214e-52,0,2,GC,631,C,U,25,8.25,9,2.45
0.928337904732372,0.07166209526762804,1.7904949236457161e-22,0,1,GC,632,C,U,16,7.5,6.25,1.6665
0.005841131433965251,0.9941588685660349,3.8659844465897906e-45,0,2,GC,633,A,U,22,7.5,8.5,2.278
2.0306794088693288e-7,0.999999796932059,1.4079734070479915e-48,0,2,GC,634,A,U,24,10,8,2.84
0.1755567630948489,0.824443236905151,1.884023831824331e-39,0,2,GC,636,A,U,21,7.25,8.25,1.947
0.6286920039906682,0.3713079957751712,2.3416050593352075e-10,0,1,GC,636,B,U,21,9,3.5,1.687
0.06531955028410867,0.9346804497158914,8.70642967933631e-35,0,2,GC,636,C,U,22,8,7.5,2.016
0.19532105408565856,0.8046789459143415,9.017713499675597e-26,0,2,GC,637,A,U,15,7,6,2.314
0.0010617684484574143,0.9989382315515427,9.510715379361102e-43,0,2,GC,637,B,U,23,7.25,8,2.4255
4.314265830956693e-6,0.9999956857341691,8.791398090741003e-26,0,2,GC,637,C,U,28,8.75,4.5,2.6615
0.021919247618708292,0.9780807523812918,1.0604999003549822e-21,0,2,GC,639,A,U,15,10,5,2.3545
0.7162131608563136,0.2837868391436809,5.367805081494806e-15,0,1,GC,639,B,U,17,9,4.5,1.8495
0.3013652862686049,0.698634713731395,1.49703095966422e-18,0,2,GC,639,C,U,20,8.75,5,1.9535
0.8456816667462865,0.1543183332537135,2.6383241681440497e-37,0,1,GC,640,A,U,13,7.75,8.25,1.7955
0.5159140351038362,0.4840859648961639,1.0215580794874969e-49,0,1,GC,640,B,U,14,6.5,9.5,2.038
0.032126033862418545,0.9678739661375814,3.076484419026569e-62,0,2,GC,640,C,U,16,7.25,10.5,2.2485
4.041497648547626e-7,0.9999995958502351,5.3709401020755837e-45,0,2,GC,641,B,U,24,7.5,7.5,2.932
0.9897554932940825,0.010244506705917401,7.441680859962855e-17,0,1,GC,641,C,U,13,5.5,5.25,1.7625000000000002
1.1174733654328499e-4,0.9998882526634567,3.1110927172702707e-74,0,2,GC,642,A,U,21,8.75,11.25,2.4535
0.19786407901280398,0.8021359209871961,8.376805895043048e-36,0,2,GC,642,B,U,21,6.75,7.75,2.0055
3.2873946433267597e-6,0.9999967126053567,7.852353865478655e-40,0,2,GC,642,C,U,27,7,7,2.7365
0.014620459539525536,0.9853795404604745,3.2335275658602483e-47,0,2,GC,643,A,U,15,7.25,8.75,2.433
0.6444014292456403,0.3555985707543597,5.12360431090183e-17,0,1,GC,643,B,U,14,6.75,4.5,2.2175
0.9847891556180302,0.015210844381969848,1.4280754363933881e-28,0,1,GC,643,C,U,9,6.5,7.25,1.6985
0.9980978647970822,0.0019021351866087778,1.6309216085482595e-11,0,1,GC,644,A,U,12,4.25,4.5,1.6075
