ril,location,prop_hybrid,mean_visits,growth_rate,petal_area_mm,asd_mm,protandry,petal_color,date_first_flw,node_first_flw,petal_perim_mm,stem_dia_mm,lwc,crossDir,num_hybrid,offspring_genotyped
A1,GC,0,0,1.272,43.9521979,0.44667937,1.281255251,white,95.3868106,20.51415537,43.07237369,1.924,0.8311,A,0,8
A100,GC,0.125,0.1875,1.448,55.78633409,1.073041195,1.110734709,pink,96.75742399,25.26507575,43.84227594,2.328,0.8376,A,1,8
A102,GC,0.25,0.25,1.8O,51.7031169,0.674447307,0.940214166,pink,97.95671071,24.91315572,47.29936921,2.422,0.8421,A,2,8
A104,GC,0,0,0.816,57.28095396,0.959157227,1.281255251,white,95.21548393,15.58727498,47.01340368,1.826,0.8236,A,0,8
A106,GC,0,0,0.728,68.55463728,1.4146931,2.815940135,white,96.75742399,18.4026352,55.7193253,1.89,0.8249,A,0,8
A107,GC,0.125,0,1.764,66.33973412,0.788331275,1.963337422,pink,101.5545709,24.91315572,51.04836578,1.954,0.8316,A,1,8
A108,GC,NA,NA,1.584,51.4932,0.6,0.8,NA,99,23.4,40.1904,2.12,0.8355,NA,NA,NA
A109,GC,0,0,1.476,48.07140174,0.560563339,1.281255251,white,98.98467075,24.38527568,39.9568057,1.95,0.827,A,0,8
A111,GC,0,NA,1.144,51.56436541,1.016099211,1.622296337,white,94.87283058,17.34687512,40.444552,1.846,0.8477,A,0,8
A112,GC,0.25,0,1,89.82160432,0.617505323,2.47489905,white,96.58609732,17.87475516,54.53494539,2.16,0.8287,A,2,8
A114,GC,0,0,1.984,49.36940574,1.642461036,1.281255251,pink,99.84130412,26.49679584,47.33070334,2.018,0.8295,A,0,8
A115,GC,NA,NA,0.968,65.9741,1,2.2,pink,98.8,23.4,46.1442,1.902,0.8246,NA,NA,NA
A116,GC,NA,NA,1.664,76.0486,1.2,2.2,NA,101.8,22.2,48.5027,1.952,0.8255,NA,NA,NA
A118,GC,0.125,0,1.64,52.33256263,0.617505323,1.110734709,pink,96.24344397,23.85739564,43.9266687,2.164,0.8323,A,1,8
A119,GC,0,0,0.864,50.20268286,0.902215243,1.110734709,pink,100.5266108,24.20931566,47.25179995,1.898,0.8214,A,0,8
A12,GC,NA,NA,1.7993,58.8704,0.3,2.4,pink,99.3446,21.6345,42.5948,1.862,0.8121,NA,NA,NA
A121,GC,NA,NA,1.572,80.6185,3.5,3.8,NA,99.8,24.8,52.3912,2.246,0.8237,NA,NA,NA
A122,GC,NA,NA,1.524,50.3168,1.6,1.4,NA,96.8,22.4,47.1386,2.062,0.843,NA,NA,NA
A123,GC,NA,0,1.584,77.5921,0.6,2.2,pink,99,23.2,54.5337,2.202,0.8112,NA,NA,NA
A124,GC,0,0,0.312,60.9280086,0.788331275,1.963337422,white,92.1316038,17.52283513,46.69808526,2.192,0.8099,A,0,8
A126,GC,0,0,1.072,42.05910227,0.560563339,0.940214166,white,94.35885056,19.6343553,41.36684502,1.954,0.8165,A,0,8
A128,GC,0.625,1.1667,1.056,64.16755089,1.016099211,1.451775794,NA,97.61405736,19.81031532,52.62862858,2.082,0.8565,A,5,8
A129,GC,0,0,0.924,54.45691818,0.674447307,1.110734709,white,93.15956384,16.81899508,40.24477247,1.93,0.8258,A,0,8
A13,GC,0.125,0,1.608,45.3690694,1.300809132,2.304378507,pink,94.53017723,21.21799543,44.58125604,2.076,0.831,A,1,8
A132,GC,0.125,0.1111,1.592,54.18188066,0.560563339,1.281255251,pink,97.10007734,22.0977955,43.01258745,2.024,0.8326,A,1,8
A133,GC,NA,NA,0.944,47.9664,0.5,1.6,NA,97.4,20.4,46.9384,1.958,0.8426,NA,NA,NA
A134,GC,NA,NA,1.3076,44.7178,0.125,0.8058,NA,94.0373,19.6424,40.912,1.9737,0.8358,NA,NA,NA
A136,GC,0.857142857,0,0.776,87.04991132,0.959157227,2.645419592,pink,93.15956384,15.05939494,51.13865453,2.144,0.8198,A,6,7
A14,GC,0,0,0.696,45.16719447,0.44667937,0.769693623,white,96.92875066,24.03335565,43.73817143,2.132,0.8376,A,0,7
A140,GC,NA,1,1.244,76.905,0.3,1.2,pink,99.8,22.2,53.5523,1.916,0.8414,NA,NA,NA
A16,GC,0,0,1.1,53.68624211,0.44667937,2.304378507,pink,94.87283058,18.93051525,49.58043052,2.044,0.8227,A,0,8
A17,GC,0,0,1.6,36.66779584,0.44667937,1.281255251,white,96.41477064,21.39395544,37.36782958,1.986,0.8299,A,0,8
A18,GC,NA,0,0.596,48.3486,0.8,1.4,pink,95,23,41.9704,1.998,0.8264,NA,NA,NA
A19,GC,NA,NA,1.912,42.3308,2,1.7444,pink,99.8602,28.0537,42.8622,2.186,0.8046,NA,NA,NA
A2,GC,0,0,1.488,50.41015504,0.617505323,1.963337422,pink,95.72946395,23.68143562,46.74616637,2.184,0.8298,A,0,8
A20,GC,NA,NA,1.424,56.1642,0.9,1.4,NA,101.2,21.8,45.0775,1.97,0.8315,NA,NA,NA
A21,GC,0.25,0,1.676,61.54653126,1.4146931,1.963337422,NA,97.78538403,22.44971552,48.07156187,2.05,0.8329,A,2,8
A25,GC,0,0,1.648,74.51369883,1.129983179,1.792816879,pink,98.98467075,24.73719571,53.34631493,2.088,0.8196,A,0,8
A26,GC,NA,NA,1,36.0004,0.5,0.5229,NA,95.6,21,39.3366,2.0543,0.8401,NA,NA,NA
A27,GC,0.5,NA,1.48,85.91589774,1.642461036,2.815940135,pink,98.12803738,18.75455523,51.38546035,2.1,0.8048,A,4,8
A28,GC,0.375,2,1.152,56.67612076,0.674447307,1.451775794,pink,98.6420174,22.62567554,51.07578238,1.99,0.8437,A,3,8
A30,GC,0.75,0.125,1.612,70.64359008,1.471635084,2.645419592,pink,96.24344397,21.21799543,48.47654595,1.97,0.8485,A,6,8
A31,GC,0.5,0.3333,0.96,72.50859493,0.959157227,1.963337422,pink,98.98467075,21.04203541,54.2007852,2.202,0.8079,A,4,8
A34,GC,0,0,1.416,61.74265261,0.674447307,1.622296337,pink,98.29936406,24.38527568,47.45333679,2.116,0.813,A,0,8
A35,GC,0.125,0,1.404,63.15915695,0.731389291,1.792816879,pink,101.2119175,22.97759557,49.99665498,2.278,0.8273,A,1,8
A37,GC,0,0,1.372,49.96590758,1.073041195,1.622296337,NA,95.3868106,20.69011539,40.9656289,2.168,0.8264,A,0,8
A42,GC,0.25,0,1.312,86.17188496,1.016099211,2.986460678,pink,95.90079062,17.52283513,53.39504501,2.03,0.8019,A,2,8
A43,GC,NA,0,1.192,42.5802,1.1,1.4,pink,94,21,43.763,1.996,0.8112,NA,NA,NA
A44,GC,0,0,1.36,53.75837998,0.959157227,2.47489905,pink,95.04415725,17.34687512,51.224012,2.284,0.8401,A,0,8
A46,GC,NA,0,0.896,115.6038,0.9,2.8,white,97.6,20.2,62.545,2.276,0.8499,NA,NA,NA
A47,GC,0,0,1.54,64.96982585,1.528577068,2.645419592,pink,95.72946395,21.92183548,47.60826759,2.056,0.8375,A,0,8
A49,GC,0,NA,1.188,66.34253619,0.617505323,2.304378507,white,97.27140401,17.17091511,55.66638206,2.116,0.8283,A,0,8
A50,GC,0,0,1.412,93.17688609,0.560563339,2.133857965,white,98.12803738,17.87475516,54.84770402,1.948,0.8347,A,0,8
A51,GC,0.25,0.1667,0.864,51.62178949,0.953908099,0.892564336,pink,98.77091661,23.48107276,44.2742987,2.1393,0.8386,A,2,8
A52,GC,NA,NA,1.168,52.5566,0.8,1.8,NA,95.2,21.6,45.1938,2.19,0.8526,NA,NA,NA
A53,GC,0,0,1.044,65.22278135,0.731389291,1.281255251,NA,96.75742399,19.10647526,53.80994714,2.116,0.8548,A,0,8
A54,GC,NA,NA,1.428,66.5098,0.7,2.6,NA,96,20.4,49.048,2.08,0.854,NA,NA,NA
A55,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A56,GC,NA,NA,1.128,86.5505,0.9,2,NA,99.2,18.8,56.1304,2.264,0.8331,NA,NA,NA
A57,GC,NA,0,0.596,77.2472,1.3,2.2,pink,96.2,18.6,65.6102,2.216,0.8131,NA,NA,NA
A58,GC,0,0,1.116,58.32666756,0.788331275,1.110734709,white,95.72946395,22.80163555,46.42634598,2.146,0.8356,A,0,8
A59,GC,0,0,1.628,70.86263495,0.617505323,2.304378507,pink,97.44273069,20.33819536,54.73042173,2.106,0.8429,A,0,8
A63,GC,0.5,0,0.884,73.9719379,0.902215243,1.963337422,pink,100.0126308,23.68143562,54.09464959,2.176,0.8125,A,4,8
A64,GC,NA,NA,1.16,42.4116,0.1,0.4,white,97.2,18,35.2262,1.998,0.857,NA,NA,NA
A67,GC,0,0.4375,1.104,72.93620388,0.389737386,2.304378507,white,95.90079062,16.64303507,50.16856869,2.154,0.8194,A,0,8
A69,GC,0,0,1.112,33.81520945,1.186925164,0.258131995,white,95.72946395,19.45839529,35.62880621,2.128,0.8459,A,0,8
A70,GC,NA,NA,1.26,48.868,1.625,2.22,white,101.4,18.2,40.7146,1.8703,0.8421,NA,NA,NA
A71,GC,NA,NA,1.652,71.5328,2,2.2,NA,99,22.2,52.0795,2.096,0.8437,NA,NA,NA
A72,GC,NA,NA,0.96,41.5634,0.9,1.4,NA,96,19.6,46.4824,2.002,0.8378,NA,NA,NA
A73,GC,NA,NA,1.272,51.4497,0.3,1.2,NA,98.8,23.4,45.8435,2.256,0.8359,NA,NA,NA
A76,GC,0,0,1.42,72.64327465,0.788331275,2.47489905,white,97.61405736,18.57859522,48.99427322,2.128,0.8079,A,0,8
A77,GC,NA,NA,1.788,38.3748,0.2,0.4,NA,101,22.4,35.9525,1.664,0.8284,NA,NA,NA
A78,GC,0.125,0,0.484,51.18863494,0.503621355,0.769693623,pink,92.30293047,14.88343493,41.93193308,1.994,0.8372,A,1,8
A79,GC,0,0,1.06,75.99111891,0.503621355,2.133857965,white,95.21548393,15.05939494,51.49845247,1.902,0.8219,A,0,8
A8,GC,0.125,0,0.792,63.54076028,0.389737386,1.963337422,white,97.78538403,16.81899508,49.371675,2.092,0.8118,A,1,8
A80,GC,NA,NA,0.732,59.7942,0.4,1.4,NA,94.8,18,47.163,2.122,0.8481,NA,NA,NA
A81,GC,0.375,0.0625,0.88,51.0723388,1.016099211,2.304378507,pink,91.78895045,18.05071518,45.28446473,2.27,0.8355,A,3,8
A82,GC,NA,NA,1.356,45.437,1.2,2.2,NA,93.4,22.4,43.776,2.24,0.839,NA,NA,NA
A83,GC,0,0,1.144,44.10180309,0.389737386,0.940214166,white,96.0721173,20.31189805,40.16913927,2.07,0.8452,A,0,8
A84,GC,NA,NA,1.252,56.983,1.4,2,NA,97,22,50.396,2.296,0.8232,NA,NA,NA
A85,GC,NA,NA,1.18,66.2382,0.4,1.6,NA,98.4,21.8,50.827,1.9,0.8345,NA,NA,NA
A86,GC,NA,NA,0.744,76.3936,1.9,2,NA,96.4,20.2,51.6658,1.95,0.8044,NA,NA,NA
A87,GC,0.125,0,1.288,65.86041159,0.44667937,1.792816879,NA,95.72946395,19.45839529,53.38586098,2.194,0.8375,A,1,8
A89,GC,0,0.3333,0.92,59.32689052,0.959157227,2.304378507,NA,93.50221719,18.57859522,47.50772067,1.864,0.827,A,0,8
A9,GC,0,0,0.9376,47.75246898,0.959157227,0.769693623,NA,96.08319072,21.56991545,48.80558463,2.084,0.8249,A,0,8
