site,id,replicate,uniqueID,subspecies,node,date_flowered,avg_protandry,avg_herkogamy,avg_petal_area,lat,lon,ele
GC,685,B,GC-685-B,U,12,11/17,0.5,0.25,0.34650000000000003,35.73052101,-118.429463,828.909851
GC,685,C,GC-685-C,U,12,11/16,5.5,0,0.4455,35.73052101,-118.429463,828.909851
GC,686,A,GC-686-A,U,12,11/21,7.75,5,1.8375,35.73054297,-118.429445,828.880737
GC,686,B,GC-686-B,U,NA,NA,7.5,9.25,1.8365,35.73054297,-118.429445,828.880737
GC,686,C,GC-686-C,U,16,11/23,6,5,1.9495,35.73054297,-118.429445,828.880737
GC,687,A,GC-687-A,U,10,11/21,7.5,8,2.6225,35.73058102,-118.429476,827.753967
GC,687,B,GC-687-B,U,7,11/19,4,4,1.4875,35.73058102,-118.429476,827.753967
GC,687,C,GC-687-C,U,10,11/22,7.5,8.25,1.9495,35.73058102,-118.429476,827.753967
GC,688,A,GC-688-A,U,10,12/2,10,10.5,2.8745000000000003,35.73057801,-118.429491,828.810974
GC,688,B,GC-688-B,U,NA,12/5,8,6.5,2.2135,35.73057801,-118.429491,828.810974
GC,688,C,GC-688-C,U,21,12/15,7,8.5,1.9,35.73057801,-118.429491,828.810974
GC,689,A,GC-689-A,U,12,11/14,0.5,0,0.34099999999999997,35.73057801,-118.429493,828.81018099999994
GC,689,B,GC-689-B,U,11,11/20,0.75,0.25,0.3415,35.73057801,-118.429493,828.81018099999994
GC,689,C,GC-689-C,U,17,11/21,1.5,0.25,0.35350000000000004,35.73057801,-118.429493,828.81018099999994
GC,690,A,GC-690-A,U,20,12/6,10,4.5,2.1035,35.73052797,-118.42943,828.097229
GC,690,B,GC-690-B,U,18,11/26,8.5,6,2.1734999999999998,35.73052797,-118.42943,828.097229
GC,690,C,GC-690-C,U,16,12/4,11.75,5,2.5715,35.73052797,-118.42943,828.097229
GC,691,A,GC-691-A,U,14,11/26,6.5,5,1.778,35.73052897,-118.429474,829.685059
GC,691,B,GC-691-B,U,11,11/22,7.5,6.75,1.836,35.73052897,-118.429474,829.685059
GC,691,C,GC-691-C,U,13,11/27,7.25,8.5,2.245,35.73052897,-118.429474,829.685059
GC,692,A,GC-692-A,U,8,11/14,2.5,0.5,1.0554999999999999,35.73054297,-118.42958900000001,830.073792
GC,692,B,GC-692-B,U,11,11/14,0,0.25,0.41000000000000003,35.73054297,-118.42958900000001,830.073792
